index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans, decision
34,F,married,35.31,2,manuf,secondary,1584.06,16853.17,1028.19,None
35,M,married,39.97,3,medicine,postgrad,9675.09,54522.38,3774.26,A
36,M,married,23.43,1,finance,tertiary,3791.18,31456.42,1342.56,None
37,M,divorced,57.12,3,construct,tertiary,3791.18,31456.42,1342.56,None
38,F,divorced,44.77,1,construct,postgrad,3791.18,31456.42,1342.56,None
39,M,single,28,0,legal,tertiary,9956.44,30937.8,3866.72,None
40,M,single,26.9,0,manuf,tertiary,5000.87,25165.38,2360.42,B
41,M,single,24.13,0,manuf,tertiary,7797.77,1850.62,1311.82,None
42,F,married,41.94,2,finance,postgrad,3561.05,28721.1,3967.53,None
43,F,single,34.23,0,government,tertiary,5011.08,39541.94,1501.54,None
44,F,single,25.93,0,IT,secondary,1662.21,12033.74,1286.34,None
45,M,single,25.83,0,legal,tertiary,7226.4,29092.73,2682.05,None
46,M,divorced,32.6,3,IT,secondary,1045.43,22064.53,1101.11,None
47,F,divorced,44.25,2,IT,secondary,1645.65,9154.42,1364.2,None
48,M,married,44.65,1,government,tertiary,5194.72,13796.11,1628.31,A
49,F,divorced,28.66,1,legal,tertiary,6612.07,28284.88,3669.22,B
50,M,widowed,56.51,1,IT,tertiary,8917.89,11595.8,1444.51,None
51,M,married,29.83,2,construct,professional,8917.89,11595.8,1444.51,None
52,F,married,39.76,1,manuf,tertiary,5295.78,21398.78,1260.13,None
53,F,single,23.23,0,medicine,tertiary,8664.08,22064.65,2269.68,B
54,M,married,36.46,2,finance,tertiary,5566.4,10965.36,3491.51,None
55,F,divorced,65.3,1,retired,postgrad,3328.51,10105.98,1445.43,None
56,F,single,40.12,0,education,secondary,2763,16595.83,294.69,None
57,M,married,58.89,2,manuf,tertiary,2210.32,7543.98,1293.92,A
58,F,divorced,57.84,0,government,secondary,2500.88,5691.44,1278.66,None
59,F,married,40.83,0,finance,postgrad,8250.71,29394.42,2933.97,None
60,F,divorced,44.99,3,IT,tertiary,7370.43,21856.57,2041.91,None
61,M,married,31.11,1,finance,professional,9968.58,40680.7,4708.21,None
62,F,single,22.84,0,finance,secondary,2161.05,13856.56,1200.11,None
63,M,divorced,57.07,2,manuf,tertiary,4996.54,15985.3,2328.75,None
64,F,divorced,27.59,1,manuf,secondary,869.36,6742.84,912.21,None
65,M,married,33.18,1,medicine,secondary,2284.61,16098.74,1196.33,A
66,F,married,40.52,1,manuf,tertiary,2513.18,4514.59,2096.18,A
67,M,married,48.22,2,medicine,tertiary,6157.58,19623.35,3155.41,None
68,M,divorced,36.8,2,manuf,postgrad,5187.16,23739.22,3320.07,None
69,F,single,23.39,0,finance,professional,12847.93,33671.32,4842.15,None
70,M,widowed,58.15,1,government,tertiary,6009.9,21335.52,744.47,None
71,M,married,59.57,1,IT,tertiary,5889.16,12906.45,2054.14,None
72,F,single,31.35,0,medicine,tertiary,6908.85,18864.89,3231.41,None
73,F,married,42.03,1,legal,tertiary,2357.66,21720.73,1768.79,None
74,M,married,39.98,1,education,postgrad,7843.23,25455.76,2704.42,None
75,F,widowed,60.49,2,finance,postgrad,9080.6,28877.91,3018.18,None
76,F,divorced,43.33,2,government,tertiary,4958.71,28646.42,1789.41,None
77,M,divorced,27.47,3,manuf,postgrad,8361.6,45263.75,3473.89,B
78,M,divorced,62.99,1,finance,secondary,802.8,18040.08,2061.85,None
79,F,married,39.32,1,medicine,tertiary,7230.79,38445.33,2721.86,None
80,M,divorced,29.71,1,finance,tertiary,9646.94,32848.65,1905.73,B
81,M,married,39.39,0,government,tertiary,5554.4,19919.86,1018.94,A
82,F,married,39.88,0,manuf,secondary,3154.09,16423.29,748.04,None
83,M,married,38.37,0,finance,postgrad,9390.76,13989.95,3580.26,None
84,M,married,39.79,1,IT,secondary,579.42,16311.43,814.35,None
85,M,married,65.61,2,retired,professional,5351.61,37993.15,1498.5,None
86,F,single,22.11,0,education,tertiary,5581.19,20631.73,967.65,None
87,M,single,45.63,0,construct,tertiary,5581.19,20631.73,967.65,None
88,M,single,40.44,0,finance,secondary,1996.56,19775.39,861.81,None
89,M,married,31.41,0,government,secondary,2577.15,8128.83,865.83,None
90,F,married,39.78,1,legal,tertiary,6991.31,20261.34,2400.23,None
91,M,divorced,45.45,2,finance,tertiary,9046.3,29269.81,3420.82,None
92,F,widowed,57.16,3,government,tertiary,4963.11,19252.75,2157.89,None
93,F,married,66.9,0,retired,secondary,1927.01,5491.91,815.74,None
94,M,divorced,56.77,2,government,professional,3680.44,24848.83,3538.4,None
95,F,single,21.77,0,government,professional,9074.18,45822.57,3808.06,None
96,M,single,44.25,0,government,postgrad,9828.13,39151.61,1585.55,None
97,M,divorced,43.1,1,IT,secondary,2440.21,19562.72,1236.97,None
98,F,married,51.22,4,government,tertiary,5259.4,19997,2231.66,None
99,M,divorced,57.57,0,construct,secondary,5259.4,19997,2231.66,None
100,M,single,32.82,0,manuf,postgrad,11710.38,22848.83,3276.89,None
101,F,married,53.5,1,manuf,tertiary,6527.98,19557.48,746.47,A
102,M,single,28.04,0,finance,secondary,2966.88,21066.84,1196.25,None
103,F,widowed,50.86,1,legal,secondary,3146.1,8741.4,1175.31,None
104,M,married,56.94,1,government,tertiary,4978.89,18633.57,1335.63,None
105,F,married,61.92,3,finance,secondary,1778.85,15817.56,831.48,None
106,F,widowed,58.67,2,government,secondary,2500.62,14213.94,453,None
107,M,married,61.31,3,IT,tertiary,4670.3,22049.58,2548.68,A
108,F,married,55.76,1,construct,tertiary,4670.3,22049.58,2548.68,None
109,F,married,37.65,3,legal,professional,7642.11,78385.03,6008.57,None
110,F,single,44.45,0,IT,postgrad,11037.44,43257.93,2113.02,None
111,M,married,66.36,0,retired,postgrad,3875.63,20791.49,1077.71,None
112,M,married,32.7,1,construct,tertiary,3875.63,20791.49,1077.71,None
113,F,married,43.9,4,education,tertiary,3546.13,14623.72,999.89,None
114,F,single,28.57,0,finance,postgrad,13056.93,35535.66,4908.91,None
115,F,single,24.41,0,construct,secondary,13056.93,35535.66,4908.91,None
116,M,married,39.62,0,manuf,tertiary,2463.54,1694.22,1500.08,None
117,M,married,52.79,2,government,tertiary,4408.43,24776.96,1946.16,None
118,M,divorced,45.59,2,construct,secondary,4408.43,24776.96,1946.16,None
119,F,single,27.97,0,government,postgrad,11814.06,39759.75,1111.54,None
120,M,married,39.9,2,education,tertiary,3455.08,19904.04,544.94,None
121,F,widowed,49.66,2,education,secondary,2992.71,11353.67,303.33,None
122,F,widowed,61.05,1,finance,postgrad,12020.48,47258.04,3712.02,None
123,M,single,45.85,0,medicine,professional,12214.12,72994.93,7301.07,None
124,F,divorced,56.94,0,construct,secondary,12214.12,72994.93,7301.07,None
125,M,married,37.51,1,finance,secondary,1450.11,15996.83,735.94,None
126,M,single,26.66,0,manuf,professional,8650.53,10467.77,3871.36,None
127,F,married,39.97,2,government,tertiary,4906.33,20328.02,673.85,None
128,M,single,27.67,0,construct,postgrad,4906.33,20328.02,673.85,B
129,M,married,41.77,0,manuf,tertiary,5849.22,28504.76,1458.2,None
130,F,widowed,59.71,3,finance,professional,10170.47,45338.34,4761.22,None
131,F,single,28.31,0,finance,tertiary,7067.84,14085.66,3020.8,None
132,F,single,35.06,0,manuf,secondary,3508.96,12346.86,437.7,None
133,F,married,58.36,1,IT,tertiary,2510.42,23947.57,1990.3,A
134,M,married,36.71,1,government,secondary,4030.26,2377.23,409.25,None
135,F,divorced,34.82,2,medicine,tertiary,6701.74,16363.95,3541.74,None
136,F,single,28.77,0,finance,secondary,2231.17,16432.66,1186.89,None
137,M,single,21.75,0,government,secondary,3086.05,10153.88,592.97,B
138,F,married,49.28,0,medicine,tertiary,6967.26,28809.91,1473.94,None
139,M,single,21.62,0,finance,tertiary,6052.6,26303.88,2001.31,B
140,M,married,40.11,2,finance,secondary,3295.55,11103.75,1225.06,A
141,M,married,40.06,2,manuf,secondary,2320.77,19511.52,1260.93,A
142,F,single,30.49,0,construct,postgrad,2320.77,19511.52,1260.93,None
143,M,divorced,46.15,2,legal,tertiary,6234.92,18363.03,3940.24,None
144,M,married,38.09,1,finance,postgrad,10279.43,14525.43,3731.24,None
145,F,married,43.42,0,finance,tertiary,6140.75,36572.83,2015.91,None
146,F,married,58.98,2,manuf,tertiary,3507.01,12834.27,1958.05,A
147,F,married,50.84,0,finance,postgrad,10716.45,34888.58,3899.33,A
148,M,divorced,32.18,0,finance,tertiary,6118.91,24017.18,2372,None
149,F,married,39.45,1,manuf,secondary,2417.48,11452.9,271.75,A
150,M,single,25.43,0,IT,secondary,2181.87,12695.79,1233.78,None
151,F,single,27.35,0,IT,secondary,1211.64,14537.96,1127.08,None
152,F,widowed,60.08,0,government,postgrad,8446.99,14132.2,1077.38,None
153,F,married,63.91,3,construct,postgrad,8446.99,14132.2,1077.38,A
154,F,married,34.14,2,manuf,postgrad,8634.24,44913.59,2236.69,None
155,M,divorced,45.01,1,education,postgrad,6764.74,12294.81,1840.94,None
156,M,divorced,55.07,2,construct,secondary,6764.74,12294.81,1840.94,None
157,F,married,42.01,1,finance,tertiary,5721.88,26370.11,642.18,A
158,M,married,26.28,2,medicine,tertiary,7010.4,24533.69,1329.07,None
159,F,single,26.56,0,manuf,postgrad,8892.31,25245.63,2545.98,B
160,M,divorced,44.2,0,government,tertiary,2256.53,20103.89,1618.65,None
161,M,married,40.81,3,construct,professional,2256.53,20103.89,1618.65,None
162,M,single,34.44,0,government,secondary,2381.57,17593.71,278.01,None
163,F,married,28.36,2,IT,secondary,1557.8,16706.25,1236.9,None
164,M,divorced,64.46,3,finance,tertiary,6624.39,18540.12,1867.26,None
165,F,married,50.24,2,medicine,postgrad,12275.08,28592.25,4309.14,None
166,M,divorced,36.74,0,government,tertiary,7737.91,11885.22,1548.4,None
167,M,married,39.96,1,manuf,postgrad,11223.81,16528.01,1250.11,None
168,F,married,32.09,2,construct,secondary,11223.81,16528.01,1250.11,None
169,F,married,26.77,3,IT,tertiary,7828.41,24030.28,1793.85,None
170,M,widowed,45.64,2,legal,postgrad,11076.64,39165.49,4656.02,None
171,M,married,27.53,1,government,postgrad,10168.13,46470.32,2624.87,A
172,F,single,26.71,0,construct,secondary,10168.13,46470.32,2624.87,B
173,F,married,43.92,1,government,secondary,2545.29,8967.41,915.71,None
174,M,married,34.88,1,manuf,secondary,722.07,11707.8,843.7,None
175,F,married,58.26,1,medicine,tertiary,6886.83,29094.03,1178.01,None
176,F,widowed,55.51,1,government,tertiary,6855.79,16536.76,877.52,None
177,M,divorced,31.46,1,education,secondary,1989.72,11991.44,303.69,None
178,F,married,39.8,1,government,secondary,3742.28,14590.72,769.22,None
179,M,single,29.26,0,finance,tertiary,5998.49,11741.35,2034.94,None
180,F,widowed,41.66,3,IT,secondary,2200.89,25663.49,1212.2,None
181,F,divorced,45,0,IT,secondary,1463.39,16051.12,1213.22,None
182,F,married,29.26,1,construct,tertiary,1463.39,16051.12,1213.22,A
183,M,married,36.83,2,finance,tertiary,5717.02,27100.5,1031.46,None
184,F,married,30.27,3,construct,secondary,5717.02,27100.5,1031.46,None
185,F,single,28.1,0,government,postgrad,7999.78,13969.58,2650.37,None
186,F,married,51.61,1,construct,postgrad,7999.78,13969.58,2650.37,A
187,M,single,20.84,0,legal,secondary,2749.09,13471.51,1863.63,None
188,M,single,27.85,0,finance,secondary,2509.43,21737.39,1027.04,None
189,F,divorced,49.69,2,construct,tertiary,2509.43,21737.39,1027.04,None
190,F,divorced,35.64,2,government,professional,10875.01,40252.13,1017.16,None
191,M,divorced,50.23,3,education,tertiary,5560.42,28887.65,999.76,None
192,F,married,31.07,3,government,tertiary,3951.12,20632.88,1478.18,A
193,M,divorced,66.41,3,retired,tertiary,2219.78,20866.69,1398.47,None
194,F,married,38.8,1,government,postgrad,8081.6,19182.55,2260.06,None
195,F,married,29.01,2,IT,tertiary,7488.13,36289.03,806.72,None
196,F,widowed,86.8,2,retired,professional,4689.28,33038,1353.32,None
197,F,single,38.09,0,medicine,professional,18900.69,50930.82,6210.63,None
198,M,married,32.84,2,IT,tertiary,3448.01,18036.78,2607.85,None
199,M,married,55.67,0,IT,secondary,2594.06,19719.45,1660.6,None
200,M,single,23.33,0,medicine,tertiary,10339.55,28237.32,1395.03,B
201,F,married,35.82,1,finance,professional,11144.99,33709.7,7672.02,A
202,F,married,68.66,1,retired,postgrad,2999.64,20974.84,1270.29,None
203,M,married,43.13,0,government,postgrad,8045.89,21474.17,1800.08,None
204,F,divorced,73.3,2,retired,tertiary,4378.06,14914.94,1372.8,None
205,F,married,26.39,1,manuf,secondary,1535.98,12060.32,796.67,A
206,M,single,28.74,0,IT,tertiary,4295.75,19601.9,792.41,None
207,M,married,26.64,3,medicine,secondary,508.1,14406.19,1713.48,None
208,M,married,39.98,3,manuf,tertiary,2248.96,20332.04,1651.66,None
209,F,married,30.18,3,construct,postgrad,2248.96,20332.04,1651.66,None
210,M,single,27.69,0,government,secondary,2082.23,17948.54,982.88,None
211,F,single,21.99,0,legal,tertiary,9465.08,17810.63,2466.62,B
212,F,single,21.23,0,manuf,tertiary,7253.39,8782.71,1781.74,None
213,F,married,22.09,1,IT,secondary,1500.4,21697.37,1862.66,None
214,M,married,24.35,0,medicine,secondary,2600.58,17139.96,2255.63,A
215,F,married,29.22,3,finance,postgrad,11316.8,34265.83,3322.55,None
216,F,married,41.34,2,IT,tertiary,5331.59,34455.95,1429.28,None
217,F,single,42.45,0,education,postgrad,3206.45,32625.71,2199.25,None
218,M,single,26.52,0,IT,tertiary,8686.04,11643.91,2039.02,B
219,F,divorced,28.94,0,IT,tertiary,9185.92,23511,1782.03,None
220,M,married,38.32,4,finance,secondary,2834.5,13840.58,1621.68,A
221,F,married,64.08,0,government,tertiary,3532.75,24530.75,1575.74,None
222,F,married,64.38,4,construct,tertiary,3532.75,24530.75,1575.74,None
223,M,single,27.01,0,finance,tertiary,6845.55,24968.19,2027,None
224,F,married,31.78,0,manuf,secondary,1487.43,12210.94,952.73,A
225,M,single,39.76,0,government,tertiary,4331.79,24014.18,1500.92,None
226,F,married,41.04,1,manuf,secondary,3826.66,19680.21,752.83,None
227,F,married,40.29,0,finance,postgrad,5914.94,19348.1,3012.47,None
228,F,single,28.24,0,education,secondary,1991.69,4492.65,303.23,None
229,F,divorced,63.93,0,medicine,professional,11960.26,61138.6,6896.69,None
230,M,widowed,85.45,3,retired,tertiary,2532.79,15022.52,842.1,None
231,M,married,37.02,2,government,secondary,2120.58,14361.43,838.99,None
232,M,married,40.39,2,legal,secondary,3621.7,17251.08,1817.26,None
233,M,widowed,44.81,2,government,tertiary,5658.75,19880.98,2343.09,None
234,F,single,38.03,0,finance,postgrad,7109.13,29609.07,3001.48,None
235,M,widowed,62.13,2,education,tertiary,3993.99,21914.89,1784.22,None
236,F,widowed,79.38,2,retired,secondary,1440.97,9955.54,1124.78,None
237,F,widowed,80.8,0,retired,postgrad,4001.88,28406.52,1328.02,None
238,F,single,23.36,0,construct,postgrad,4001.88,28406.52,1328.02,None
239,F,married,40.37,2,construct,tertiary,4001.88,28406.52,1328.02,A
240,M,married,31.98,1,manuf,secondary,3880.48,11596.28,211.76,None
241,F,single,28.25,0,finance,tertiary,4995.42,24000.3,1621.18,None
242,M,single,30.89,0,legal,tertiary,7551.81,22593.02,2691.9,None
243,M,divorced,69.94,1,retired,tertiary,4437.68,21442.62,473.72,None
244,M,single,44.81,0,IT,postgrad,9134.84,47529.84,3537.32,None
245,F,single,31.29,0,government,tertiary,5416.61,20017.6,2437.66,None
246,M,married,47.35,2,manuf,tertiary,2866.3,18821,1161.29,A
247,M,widowed,65.3,1,retired,postgrad,2767.03,10176.98,1795.02,None
248,F,married,54.5,2,IT,secondary,1391.94,18549.12,1724.06,None
249,M,widowed,43.35,0,finance,secondary,1662.56,14508.79,1197.35,None
250,M,divorced,47.78,0,medicine,postgrad,9390.82,17968.03,2414.97,None
251,M,married,38.65,1,education,secondary,1996.59,18509.98,475.83,A
252,F,married,28.9,0,manuf,tertiary,6966.33,21990.4,2153.95,None
253,M,married,39.86,0,manuf,professional,6084.82,42728.23,5584.11,None
254,M,married,28.13,4,medicine,secondary,3821.92,21615.32,823.58,None
255,M,single,44.6,0,IT,postgrad,13794.92,13342.87,3221.08,None
256,F,divorced,38.99,3,manuf,secondary,1770.34,20869.3,926.4,None
257,F,married,38.52,2,IT,secondary,1525.86,16513.18,1277.17,None
258,F,single,28.32,0,finance,postgrad,9067.76,40767.69,3553.09,None
259,F,married,48.01,2,manuf,tertiary,5584.26,20010.4,1482.22,None
260,F,married,55.78,2,construct,tertiary,5584.26,20010.4,1482.22,A
261,F,divorced,57.43,3,government,secondary,3149.69,12134.08,795.49,None
262,F,divorced,45.16,2,government,postgrad,7311.08,18248.45,3152.17,None
263,M,single,24.62,0,manuf,secondary,2333.57,9458.71,295.89,None
264,M,married,44.42,3,legal,postgrad,16074.76,38266.96,3526.25,A
265,F,married,58.6,1,finance,tertiary,7307.93,20024.65,2774.01,None
266,F,married,38.95,2,IT,tertiary,5981.44,27497.47,1459.83,A
267,F,divorced,27.56,2,government,postgrad,2536.2,25039.67,3442.84,None
268,M,married,40.01,2,medicine,secondary,3233.24,20215.56,1121.44,A
269,M,married,23.99,3,construct,professional,3233.24,20215.56,1121.44,None
270,F,divorced,45.87,2,finance,tertiary,6179.19,21269.47,1503.78,None
271,M,married,30.84,0,government,secondary,1941.58,15737.93,215.52,None
272,F,widowed,65.63,2,retired,postgrad,4009.99,10476.27,509.94,None
273,F,divorced,44.97,3,finance,tertiary,6695,20729.48,2259.65,None
274,F,single,32.22,0,manuf,secondary,2980.29,12719.64,893.49,None
275,M,married,50.55,2,finance,postgrad,6265.25,36320.75,3731.41,A
276,F,widowed,50.42,1,construct,tertiary,6265.25,36320.75,3731.41,None
277,F,single,35.89,0,manuf,tertiary,2212.73,11873.57,1080.16,None
278,F,married,37.98,4,government,secondary,1181.14,19858.82,823.23,None
279,M,married,50.27,2,IT,postgrad,12644.42,17608.87,3388.32,None
280,F,single,26.22,0,construct,postgrad,12644.42,17608.87,3388.32,B
281,F,married,28.46,2,legal,secondary,3647.41,25342.83,2610.19,None
282,F,single,43.63,0,education,secondary,1268.31,14855.89,684,None
283,F,married,46.83,4,finance,tertiary,5715.3,10225.96,1579.61,None
284,F,widowed,74.28,1,retired,secondary,1445.29,11096.25,820.81,None
285,M,divorced,65.7,1,retired,tertiary,4642.65,12208.85,1339.7,None
286,M,single,45.27,0,government,tertiary,5406.25,15012.63,1084.38,None
287,M,divorced,42.84,0,manuf,tertiary,6321.12,19969.13,1572.46,None
288,F,married,40.07,1,government,tertiary,2627.26,19714.35,1404.2,A
289,F,married,69.09,1,retired,secondary,1932.81,9124.46,781.4,A
290,M,married,36.25,0,medicine,secondary,2126.57,9519.55,1788.15,A
291,M,widowed,44.25,3,manuf,secondary,4497.39,12198.9,881.98,None
292,F,married,59.34,2,IT,tertiary,5897.32,30069.58,724.83,A
293,M,widowed,62.99,2,legal,tertiary,2804.96,31031.11,2590.77,None
294,M,divorced,62.22,2,government,secondary,2488.64,10866.6,968.54,None
295,M,single,20.46,0,legal,postgrad,7573.42,27623.04,4959.68,B
296,F,widowed,85.5,1,retired,tertiary,2570.37,16876.54,400.03,None
297,M,divorced,66.09,0,retired,secondary,534.9,7015.03,788.32,None
298,F,married,67.67,3,retired,postgrad,3972.5,19529.2,1445.9,A
299,F,married,69.84,3,retired,postgrad,3073.23,33108.03,424.79,A
300,F,single,42.04,0,government,secondary,2141.49,18951.46,795.97,None
301,M,married,50.59,0,manuf,tertiary,3085.8,35105.37,891.45,None
302,F,married,58.67,2,IT,secondary,2461.32,11150.49,1260.11,None
303,F,widowed,53.6,1,education,tertiary,3337.16,28301.52,1257.7,None
304,M,single,28.58,0,IT,tertiary,7339.9,13364.08,1591.63,B
305,F,widowed,70.46,2,retired,postgrad,5797.28,33672.38,519.92,None
306,F,single,23.56,0,IT,postgrad,5704.32,17544.8,3000.02,None
307,F,married,40,2,manuf,tertiary,4247.5,20500.39,1443.43,A
308,M,divorced,41.63,2,manuf,tertiary,5588.66,16456.78,1150.25,None
309,M,widowed,50.85,4,manuf,postgrad,9310.84,25973.99,2505.14,None
310,F,married,42.4,0,government,tertiary,5188.82,20342.63,1445.37,None
311,F,married,63.48,2,legal,postgrad,9463.68,17361.7,3999.6,None
312,M,married,46.15,2,legal,secondary,2729.69,18324.89,2709.47,None
313,F,single,35.34,0,government,tertiary,5452.64,5402.37,2343.84,None
314,F,married,49.66,1,IT,postgrad,7505.61,46430.14,2997.21,None
315,M,widowed,57.88,1,medicine,secondary,5382.84,21458.64,1585.45,None
316,F,married,39.01,2,construct,tertiary,5382.84,21458.64,1585.45,None
317,F,single,43.1,0,construct,secondary,5382.84,21458.64,1585.45,None
318,F,single,27.59,0,government,tertiary,7485.82,21420.86,2433.15,None
319,M,single,24.41,0,construct,tertiary,7485.82,21420.86,2433.15,None
320,F,single,27.98,0,government,professional,8888.45,51543.76,1953.44,None
321,F,married,23.88,1,legal,professional,12039.95,51404.59,3137.56,None
322,F,married,38.36,2,government,secondary,3303.45,8427.29,1217.02,None
323,M,divorced,39.76,4,IT,tertiary,7747.57,21820.13,2569.67,None
324,F,married,67.02,0,retired,tertiary,2161.14,15849.68,1348.57,A
325,M,married,39.63,1,manuf,tertiary,7793.29,20860.62,1468.64,A
326,F,single,20.73,0,IT,secondary,2948.88,12580.51,721.98,None
327,M,married,32.03,3,IT,postgrad,9066.49,32186.72,2999.98,None
328,M,widowed,89.91,2,retired,tertiary,3830.58,16578.83,1259.18,None
329,M,married,39.04,2,construct,postgrad,3830.58,16578.83,1259.18,A
330,M,married,68.51,1,retired,tertiary,4215.06,4563.31,1651.31,A
331,F,married,38.74,0,manuf,tertiary,5024.36,25499.6,1074.15,None
332,M,married,42.07,1,manuf,tertiary,5637.61,36424.14,989.58,A
333,M,single,32.64,0,manuf,tertiary,3837.49,22595.95,1480.21,None
334,F,married,50.11,1,finance,secondary,843.07,16185.91,445.06,A
335,F,married,55.2,1,IT,secondary,1583.69,16304.24,659.55,None
336,F,divorced,27.37,4,IT,secondary,1987.63,15818.82,1099.65,None
337,M,widowed,58.83,2,finance,secondary,2864.27,7819.02,650.9,None
338,M,married,39.95,4,legal,postgrad,8882.35,40293.11,5939.93,None
339,M,single,33.3,0,IT,secondary,2138.89,22048.03,265.22,None
340,M,single,20.94,0,finance,secondary,2014.88,8745.38,1850.98,None
341,M,divorced,47.09,2,construct,secondary,2014.88,8745.38,1850.98,None
342,F,married,34.21,1,legal,tertiary,8891.85,42118.33,2018.23,A
343,F,married,49.38,0,construct,secondary,8891.85,42118.33,2018.23,A
344,F,divorced,65.66,1,retired,secondary,872.52,9633.83,708.01,None
345,F,divorced,53.49,0,legal,postgrad,10167.85,30890.61,5220.9,None
346,F,married,59.56,2,IT,secondary,1738.57,16035.35,1301.17,None
347,M,single,35.89,0,manuf,postgrad,3777.18,25017.73,2498.86,None
348,F,married,37.94,2,construct,professional,3777.18,25017.73,2498.86,A
349,M,married,39.63,0,finance,professional,12048.15,34593.71,7299.56,None
350,M,single,29.44,0,construct,professional,12048.15,34593.71,7299.56,None
351,F,single,27.79,0,manuf,secondary,3197.57,11993.19,1374.47,None
352,F,married,32.96,2,IT,tertiary,7467.59,34680.22,1984.68,None
353,M,single,23.21,0,government,postgrad,2987.97,42676.55,2496.35,None
354,F,single,33.99,0,manuf,secondary,3052.68,12092.85,851.02,None
355,F,married,50.18,0,finance,secondary,511.38,7457.52,1153.44,None
356,F,married,41.31,2,construct,secondary,511.38,7457.52,1153.44,None
357,F,divorced,38.84,1,finance,postgrad,9518.87,14494.98,1667.17,None
358,M,married,48.96,0,construct,tertiary,9518.87,14494.98,1667.17,A
359,F,divorced,70.1,1,retired,secondary,1833.28,16831.52,924.95,None
360,F,divorced,37.96,2,government,tertiary,7573.87,7463.45,582.86,None
361,F,married,37.81,0,manuf,tertiary,6670.27,25640.38,527.66,None
362,M,divorced,62.28,3,construct,tertiary,6670.27,25640.38,527.66,None
363,M,married,25.93,2,IT,tertiary,4985.57,10973.46,2729.26,A
364,F,married,48.21,1,construct,tertiary,4985.57,10973.46,2729.26,A
365,M,married,28.07,0,government,tertiary,5002.68,12144.19,2225.71,None
366,F,married,35.48,1,manuf,secondary,3356.19,8739.98,294.13,None
367,M,married,39.2,3,manuf,postgrad,2889.19,12049.87,2636.81,None
368,M,divorced,45.01,3,finance,tertiary,8859.35,15480.89,1845.23,None
369,F,single,26.23,0,manuf,tertiary,4951.78,26957.78,761.54,None
370,F,married,35.93,2,manuf,tertiary,3124.31,17124.01,867.15,A
371,M,married,38.63,2,IT,tertiary,6307.21,25866.39,716.93,A
372,F,widowed,55.1,1,legal,tertiary,6710.38,27755.88,1209.6,None
373,M,divorced,69.66,0,retired,postgrad,5657.63,25986.84,1349.48,None
374,M,single,18.05,0,construct,tertiary,5657.63,25986.84,1349.48,None
375,F,married,38.33,0,IT,secondary,1708.38,15048.69,480.3,None
376,F,widowed,81.56,2,retired,tertiary,3960.11,15056.3,679.79,None
377,F,divorced,71.72,1,retired,tertiary,2836.73,7133.06,243.67,None
378,F,single,47.55,0,manuf,tertiary,7760.13,13585.9,1608.84,None
